name,screen_name,id,created_at,text,label
Adam Afriyie,AdamAfriyie,741408739983560705,2016-06-10 23:16:32,Enjoyable evening/Q&amp;A wt Chesham&amp;Amersham Conservatives supper club:Our Party in Gov is more important than the EU Ref @BCACF @Conservatives,Leave
Adam Afriyie,AdamAfriyie,739831840064864258,2016-06-06 14:50:30,Science will be enriched &amp; safer outside the EU #Brexit @vote_leave https://t.co/uogxarzVwI,Leave
Adam Afriyie,AdamAfriyie,734678699757436928,2016-05-23 09:33:46,Putting the case for Brexit on CNN #voteleave https://t.co/HSy6auc16o @CNN @camanpour @consforbritain @vote_leave,Leave
Adam Afriyie,AdamAfriyie,732916569173577729,2016-05-18 12:51:41,"Science has much to fear from remaining in the EU, but not much to fear from Brexit https://t.co/KMetlR2Vt8",Leave
Adam Afriyie,AdamAfriyie,731237748032557056,2016-05-13 21:40:39,Addressed Datchet VoteLeave EU tonight. Strong turnout. Great Q&amp;A. Young Joseph-year 12-was star of the show. Put up yr posters! @vote_leave,Leave
Adam Afriyie,AdamAfriyie,720308369546940416,2016-04-13 17:51:12,"Is it right to use £9m of taxpayers' cash to 'factually' convince them to back the Government's EU position? It can't be,can it? @vote_leave",Leave
Adam Afriyie,AdamAfriyie,715272768829440000,2016-03-30 20:21:31,"Good to speak on a cross-party platform tonight for a safer, stronger &amp; more prosperous future outside the EU @Grassroots_Out @vote_leave",Leave
Adam Afriyie,AdamAfriyie,712604404176826368,2016-03-23 11:38:24,Pleased to support @Farmers4Britain today. Out of the EU more money &amp; power will be available to farming @vote_leave https://t.co/PsspSY6ZQ8,Leave
Adam Afriyie,AdamAfriyie,710806191627231232,2016-03-18 12:32:56,".@SyedKamall is right, the opportunity for #Brexit is once in a lifetime. Let’s spread that message to others before 23rd June @ecrgroup",Leave
Adam Afriyie,AdamAfriyie,710130638607745025,2016-03-16 15:48:32,A strong @conservatives budget but notable that £96.5bn EU budget over the next 5 yrs remains untouched @vote_leave https://t.co/dTi9nYuiQE,Leave
Adam Afriyie,AdamAfriyie,702070144437264384,2016-02-23 09:59:00,"With only scraps offered by an intransigent &amp; arrogant EU elite, we'll be stronger, safer and better off out @vote_leave @Grassroots_Out",Leave
Adam Afriyie,AdamAfriyie,614470552619741184,2015-06-26 16:29:30,Heathrow is our noisy neighbour and can't be allowed to expand. Details about UK and EU airport noise here: http://t.co/sI2uPxRBKB,Leave
Adam Afriyie,AdamAfriyie,614373234247647234,2015-06-26 10:02:48,Want to see how EU airports compare for noise? No contest. #Heathrow @noiselimits @UKairports via @EUEnvironment http://t.co/dRXoJoixX3,Leave
Adam Afriyie,AdamAfriyie,588700487811264512,2015-04-16 13:48:28,@nick_clegg lied in casuistic bluekip speech. I've called for like-minded people to work for EU Ref with @conservatives not a pact. @LibDems,Leave
Adam Afriyie,AdamAfriyie,523109296717176832,2014-10-17 13:52:29,Leaving Parliament after EU ref. bill &amp; wanted to thank residents &amp; cllrs for fighting aircraft noise from Heathrow: http://t.co/MxdWjjop7D,Leave
Adam Afriyie,AdamAfriyie,523060186714755072,2014-10-17 10:37:21,Voting for the @Conservatives EU referendum Bill today. British people must have their say. Unbelievable that @UKLabour &amp; @LibDems disagree.,Leave
